選手登録番,レースID,艇番,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,会場,日付,着,選手名,展示タイム,天候,風向,風量,波,単勝オッズ
5055,202403292401,1,28,長崎,53,B1,5.23,30.19,4.47,23.61,27.03,34.38,24,2024-03-29,02,眞鳥章太,6.94,晴,南西,1,1,160
3965,202403292401,2,44,滋賀,58,B1,5.23,35.09,6.71,57.14,34.52,32.29,24,2024-03-29,01,北中元樹,7.06,晴,南西,1,1,180
4143,202403292401,3,42,佐賀,56,B1,4.50,26.61,4.76,25.37,31.38,34.76,24,2024-03-29,04,浦田晃嗣,6.97,晴,南西,1,1,640
3661,202403292401,4,54,山口,58,B1,5.46,33.33,4.38,14.29,24.60,41.40,24,2024-03-29,03,柳瀬興志,6.94,晴,南西,1,1,790
4498,202403292401,5,36,長崎,54,B1,5.60,37.50,5.99,43.46,36.22,32.11,24,2024-03-29,06,宮本夏樹,6.86,晴,南西,1,1,1110
5296,202403292401,6,,,,,楽21愛知46B2,1.62,0.00,0.00,53,17,24,2024-03-29,05,永田楽,6.97,晴,南西,1,1,450
3741,202403292402,1,49,福岡,58,B1,4.05,18.63,4.55,22.64,42.55,32.43,24,2024-03-29,01,松尾基成,6.95,晴,南西,1,1,430
3105,202403292402,2,60,東京,53,A2,5.64,35.16,0.00,0.00,23.56,21.74,24,2024-03-29,03,内山文典,6.96,晴,南西,1,1,770
4348,202403292402,3,,,,,奨38香川54A2,6.42,43.52,5.85,18,69,24,2024-03-29,04,宮崎奨,6.98,晴,南西,1,1,400
3484,202403292402,4,52,兵庫,54,A2,5.96,43.65,5.70,40.74,25.13,34.78,24,2024-03-29,02,芝田浩治,6.99,晴,南西,1,1,500
3604,202403292402,5,53,福岡,48,B1,4.18,18.75,2.88,8.00,40.66,28.65,24,2024-03-29,06,武藤綾子,6.96,晴,南西,1,1,1330
3809,202403292402,6,,,,,光48佐賀50B1,5.19,36.07,5.00,29,76,24,2024-03-29,05,吉田光,6.93,晴,南西,1,1,1180
3583,202403292403,1,51,埼玉,57,B1,3.69,17.65,0.00,0.00,24.34,33.69,24,2024-03-29,02,齋藤智裕,6.98,晴,南西,2,1,430
5231,202403292403,2,20,山口,46,B1,4.30,23.00,3.47,23.53,32.61,30.98,24,2024-03-29,05,寺田空詩,6.88,晴,南西,2,1,240
3257,202403292403,3,,,,,実56福岡52A1,6.61,54.44,8.53,57,68,24,2024-03-29,01,田頭実,6.97,晴,南西,2,1,250
4063,202403292403,4,44,徳島,57,A1,6.72,50.00,6.36,42.86,31.49,36.46,24,2024-03-29,03,市橋卓士,6.93,晴,南西,2,1,500
3771,202403292403,5,50,東京,51,A2,5.66,36.73,4.67,22.22,39.47,43.98,24,2024-03-29,04,折下寛法,7.01,晴,南西,2,1,1330
4404,202403292403,6,,,,,亮38兵庫53B1,3.95,25.00,5.75,71,52,24,2024-03-29,06,岸蔭亮,6.92,晴,南西,2,1,1180
4359,202403292404,1,39,徳島,56,B1,5.16,33.33,4.10,20.00,25.26,29.26,24,2024-03-29,02,横川聖志,7.03,晴,南西,2,1,230
4184,202403292404,2,37,大阪,52,A1,6.38,49.11,6.28,55.17,24.35,42.16,24,2024-03-29,01,渡邊雄一郎,6.93,晴,南西,2,1,190
4492,202403292404,3,37,愛知,50,A1,5.04,33.33,0.00,0.00,34.55,36.46,24,2024-03-29,04,本多宏和,6.93,晴,南西,2,1,250
4603,202403292404,4,36,長崎,53,B1,5.23,30.36,5.27,33.97,34.38,31.94,24,2024-03-29,06,谷川将太,6.92,晴,南西,2,1,240
3161,202403292404,5,64,大阪,53,A2,5.73,41.73,5.66,34.29,36.13,38.80,24,2024-03-29,03,古場輝義,6.88,晴,南西,2,1,1200
3470,202403292404,6,54,徳島,46,B1,5.33,37.18,5.81,44.68,42.71,29.53,24,2024-03-29,05,新田芳美,7.00,晴,南西,2,1,590
4551,202403292405,1,35,福岡,53,A2,5.81,41.90,5.46,33.82,49.20,36.76,24,2024-03-29,01,三川昂暁,6.85,晴,南東,2,1,100
4103,202403292405,2,44,埼玉,54,B1,4.57,26.04,0.00,0.00,27.98,20.56,24,2024-03-29,04,山崎善庸,6.95,晴,南東,2,1,190
