日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,展示タイム,体重,年齢,進入,ST
2025-04-02,桐生,1,15:17,投票,1,川原愛未,B1,福岡,3.26,11.9,2.38,12.5,65,30.56,71,15.94,,50.5,22,,
2025-04-02,桐生,1,15:17,投票,2,清埜翔子,A2,埼玉,5.19,35.96,5.4,43.33,29,35.38,27,33.33,,47.0,33,,
2025-04-02,桐生,1,15:17,投票,3,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,,51.1,34,,
2025-04-02,桐生,1,15:17,投票,4,山崎小葉音,A2,群馬,4.6,28.57,5.59,44.44,74,33.33,29,38.71,,44.0,24,,
2025-04-02,桐生,1,15:17,投票,5,高橋淳美,B2,大阪,2.92,7.69,5.4,30.0,48,22.92,15,33.96,,46.0,61,,
2025-04-02,桐生,1,15:17,投票,6,岩崎麗子,B2,群馬,1.48,1.19,1.25,0.0,44,32.73,57,35.82,,48.9,23,,
2025-04-02,桐生,2,15:40,投票,1,西岡育未,B1,徳島,3.94,11.76,5.22,33.33,28,38.3,60,22.58,,47.0,30,,
2025-04-02,桐生,2,15:40,投票,2,野田彩加,A2,山口,4.54,23.36,0.0,0.0,50,26.83,50,27.78,,50.1,21,,
2025-04-02,桐生,2,15:40,投票,3,松尾怜実,B1,福岡,3.43,9.09,4.93,33.33,18,22.45,45,38.81,,46.0,25,,
2025-04-02,桐生,2,15:40,投票,4,河内悠利杏,B1,群馬,2.19,0.0,1.58,0.0,21,28.89,39,22.73,,47.7,21,,
2025-04-02,桐生,2,15:40,投票,5,石村日奈那,B2,東京,1.27,1.96,0.0,0.0,12,48.39,73,41.43,,47.2,23,,
2025-04-02,桐生,2,15:40,投票,6,関野文,A1,大阪,5.7,38.79,6.1,50.0,15,18.42,46,38.46,,45.0,31,,
2025-04-02,桐生,3,16:06,投票,1,西澤日花里,B1,長崎,4.88,30.43,4.2,20.0,59,29.27,25,33.82,,47.0,30,,
2025-04-02,桐生,3,16:06,投票,2,守屋美穂,A1,岡山,7.52,63.55,8.05,78.95,16,36.84,42,27.59,,45.5,36,,
2025-04-02,桐生,3,16:06,投票,3,金田幸子,A2,岡山,5.55,39.66,4.33,33.33,64,25.93,61,34.78,,44.0,45,,
2025-04-02,桐生,3,16:06,投票,4,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,,47.5,45,,
2025-04-02,桐生,3,16:06,投票,5,高橋涼夏,B2,群馬,1.15,0.0,1.17,0.0,17,7.89,68,42.62,,46.5,17,,
2025-04-02,桐生,3,16:06,投票,6,福山恵里奈,B1,山口,3.89,17.46,0.0,0.0,41,27.12,37,34.78,,48.1,28,,
2025-04-02,桐生,4,16:32,投票,1,平川香織,B1,埼玉,5.16,33.33,5.1,30.0,43,17.07,59,30.99,,47.0,24,,
2025-04-02,桐生,4,16:32,投票,2,道上千夏,B1,香川,4.63,25.93,3.75,12.5,72,23.33,58,38.57,,50.1,53,,
2025-04-02,桐生,4,16:32,投票,3,黒澤めぐみ,A2,東京,5.76,40.43,5.37,31.58,13,27.78,20,30.3,,47.1,35,,
2025-04-02,桐生,4,16:32,投票,4,森陽多,B1,長崎,2.77,9.52,0.0,0.0,24,18.18,35,29.85,,47.0,20,,
2025-04-02,桐生,4,16:32,投票,5,中曽瑠華,B2,東京,1.87,0.0,1.61,0.0,68,19.15,47,35.21,,53.9,24,,
2025-04-02,桐生,4,16:32,投票,6,長嶋万記,A1,静岡,6.33,44.09,0.0,0.0,20,33.33,75,33.8,,49.4,43,,
2025-04-02,桐生,5,17:01,投票,1,大廣咲季,B1,香川,3.03,9.8,1.67,0.0,75,16.22,64,24.62,,46.5,25,,
2025-04-02,桐生,5,17:01,投票,2,高憧四季,B1,大阪,6.52,47.22,0.0,0.0,27,27.5,48,23.73,,44.5,25,,
2025-04-02,桐生,5,17:01,投票,3,櫻本あゆみ,A2,群馬,5.96,46.43,6.71,53.85,49,32.2,52,40.32,,47.4,37,,
2025-04-02,桐生,5,17:01,投票,4,日高逸子,A2,福岡,5.63,40.91,6.1,50.0,53,32.08,13,34.62,,45.0,63,,
2025-04-02,桐生,5,17:01,投票,5,岩崎麗子,B2,群馬,1.48,1.19,1.25,0.0,44,32.73,57,35.82,,48.9,23,,
2025-04-02,桐生,5,17:01,投票,6,濱崎寿里矢,B2,埼玉,1.94,3.23,0.0,0.0,22,17.78,22,22.54,,49.2,31,,
2025-04-02,桐生,6,17:29,投票,1,松本晶恵,A2,群馬,4.98,34.88,7.62,66.0,19,17.65,34,33.33,,48.9,37,,
2025-04-02,桐生,6,17:29,投票,2,山下奈緒,B1,大阪,4.15,12.77,0.0,0.0,70,33.85,51,38.57,,47.2,29,,
2025-04-02,桐生,6,17:29,投票,3,高橋淳美,B2,大阪,2.92,7.69,5.4,30.0,48,22.92,15,33.96,,46.0,61,,
2025-04-02,桐生,6,17:29,投票,4,登みひ果,B1,兵庫,4.24,25.29,2.61,11.11,60,34.0,56,42.25,,46.5,25,,
2025-04-02,桐生,6,17:29,投票,5,坂野さくら,B1,福井,4.89,29.03,3.5,18.75,14,35.59,12,41.79,,47.3,28,,
2025-04-02,桐生,6,17:29,投票,6,石村日奈那,B2,東京,1.27,1.96,0.0,0.0,12,48.39,73,41.43,,47.2,23,,
2025-04-02,桐生,7,17:57,投票,1,前田紗希,A1,埼玉,5.48,37.93,5.37,31.58,42,18.87,36,32.81,,46.5,32,,
2025-04-02,桐生,7,17:57,投票,2,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,,51.1,34,,
