日付,レース場,レース番号,締切予定時刻,ステータス,艇番,選手名,級別,支部,全国勝率,全国2連率,当地勝率,当地2連率,モーター番号,モーター2連率,ボート番号,ボート2連率,体重,年齢,進入
2025-04-05,桐生,1,15:17,投票,1,西澤日花里,B1,長崎,4.88,30.43,4.2,20.0,59,29.27,25,33.82,46.5,30,
2025-04-05,桐生,1,15:17,投票,2,井上未都,B1,福岡,4.41,25.23,3.8,10.0,11,25.42,43,44.07,46.5,22,
2025-04-05,桐生,1,15:17,投票,3,濱崎寿里矢,B2,埼玉,1.94,3.23,0.0,0.0,22,17.78,22,22.54,49.0,31,
2025-04-05,桐生,1,15:17,投票,4,野田彩加,A2,山口,4.54,23.36,0.0,0.0,50,26.83,14,36.99,50.2,21,
2025-04-05,桐生,1,15:17,投票,5,岩崎麗子,B2,群馬,1.48,1.19,1.25,0.0,44,32.73,57,35.82,49.0,23,
2025-04-05,桐生,1,15:17,投票,6,高橋涼夏,B2,群馬,1.15,0.0,1.17,0.0,17,7.89,68,42.62,46.5,17,
2025-04-05,桐生,2,15:40,投票,1,大石真央,B1,静岡,4.0,18.39,5.2,20.0,57,16.13,62,37.7,46.0,26,
2025-04-05,桐生,2,15:40,投票,2,山川波乙,B2,三重,4.28,19.44,6.4,50.0,51,55.36,66,15.94,46.0,27,
2025-04-05,桐生,2,15:40,投票,3,間庭菜摘,B1,福岡,4.85,20.45,0.0,0.0,26,28.26,63,22.39,46.5,32,
2025-04-05,桐生,2,15:40,投票,4,清埜翔子,A2,埼玉,5.19,35.96,5.4,43.33,29,35.38,27,33.33,47.0,33,
2025-04-05,桐生,2,15:40,投票,5,川井萌,A1,静岡,6.21,46.88,3.53,23.53,30,52.63,44,20.0,46.0,23,
2025-04-05,桐生,2,15:40,投票,6,河内悠利杏,B1,群馬,2.19,0.0,1.58,0.0,21,28.89,39,22.73,47.7,21,
2025-04-05,桐生,3,16:06,投票,1,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,51.2,34,
2025-04-05,桐生,3,16:06,投票,2,奥村明日香,B1,福岡,4.35,23.53,3.0,0.0,55,28.89,69,18.33,45.5,23,
2025-04-05,桐生,3,16:06,投票,3,松本晶恵,A2,群馬,4.98,34.88,7.62,66.0,19,17.65,34,33.33,48.6,37,
2025-04-05,桐生,3,16:06,投票,4,西岡育未,B1,徳島,3.94,11.76,5.22,33.33,28,38.3,60,22.58,46.5,30,
2025-04-05,桐生,3,16:06,投票,5,中曽瑠華,B2,東京,1.87,0.0,1.61,0.0,68,19.15,47,35.21,54.2,24,
2025-04-05,桐生,3,16:06,投票,6,長嶋万記,A1,静岡,6.33,44.09,0.0,0.0,20,33.33,75,33.8,49.0,43,
2025-04-05,桐生,4,16:32,投票,1,平川香織,B1,埼玉,5.16,33.33,5.1,30.0,43,17.07,59,30.99,47.0,24,
2025-04-05,桐生,4,16:32,投票,2,落合直子,A2,大阪,5.37,39.22,6.5,50.0,54,35.19,23,35.21,47.4,40,
2025-04-05,桐生,4,16:32,投票,3,登みひ果,B1,兵庫,4.24,25.29,2.61,11.11,60,34.0,72,42.47,46.0,25,
2025-04-05,桐生,4,16:32,投票,4,金田幸子,A2,岡山,5.55,39.66,4.33,33.33,64,25.93,61,34.78,44.0,45,
2025-04-05,桐生,4,16:32,投票,5,高憧四季,B1,大阪,6.52,47.22,0.0,0.0,27,27.5,48,23.73,44.5,25,
2025-04-05,桐生,4,16:32,投票,6,岩崎芳美,A2,徳島,5.94,39.51,6.57,52.38,23,22.22,67,42.25,48.3,52,
2025-04-05,桐生,5,17:01,投票,1,坂野さくら,B1,福井,4.89,29.03,3.5,18.75,14,35.59,12,41.79,47.0,28,
2025-04-05,桐生,5,17:01,投票,2,前田紗希,A1,埼玉,5.48,37.93,5.37,31.58,42,18.87,36,32.81,46.5,32,
2025-04-05,桐生,5,17:01,投票,3,関野文,A1,大阪,5.7,38.79,6.1,50.0,15,18.42,46,38.46,45.5,31,
2025-04-05,桐生,5,17:01,投票,4,鎌倉涼,A1,大阪,6.26,47.5,7.67,77.78,34,28.57,70,32.39,45.5,35,
2025-04-05,桐生,5,17:01,投票,5,櫻本あゆみ,A2,群馬,5.96,46.43,6.71,53.85,49,32.2,52,40.32,47.2,37,
2025-04-05,桐生,5,17:01,投票,6,森陽多,B1,長崎,2.77,9.52,0.0,0.0,24,18.18,35,29.85,47.0,20,
2025-04-05,桐生,6,17:27,投票,1,山崎小葉音,A2,群馬,4.6,28.57,5.59,44.44,74,33.33,29,38.71,43.5,24,
2025-04-05,桐生,6,17:27,投票,2,湯淺紀香,B1,群馬,5.15,33.33,4.52,24.64,35,41.18,55,41.43,47.0,26,
2025-04-05,桐生,6,17:27,投票,3,高橋淳美,B2,大阪,2.92,7.69,5.4,30.0,48,22.92,15,33.96,46.5,61,
2025-04-05,桐生,6,17:27,投票,4,間庭菜摘,B1,福岡,4.85,20.45,0.0,0.0,26,28.26,63,22.39,46.5,32,
2025-04-05,桐生,6,17:27,投票,5,井上未都,B1,福岡,4.41,25.23,3.8,10.0,11,25.42,43,44.07,46.5,22,
2025-04-05,桐生,6,17:27,投票,6,山下奈緒,B1,大阪,4.15,12.77,0.0,0.0,70,33.85,51,38.57,47.6,29,
2025-04-05,桐生,7,17:52,投票,1,野田彩加,A2,山口,4.54,23.36,0.0,0.0,50,26.83,14,36.99,50.2,21,
2025-04-05,桐生,7,17:52,投票,2,飯塚響,B2,群馬,3.69,15.38,2.91,11.76,37,32.76,17,29.69,45.0,25,
2025-04-05,桐生,7,17:52,投票,3,守屋美穂,A1,岡山,7.52,63.55,8.05,78.95,16,36.84,42,27.59,45.5,36,
2025-04-05,桐生,7,17:52,投票,4,福山恵里奈,B1,山口,3.89,17.46,0.0,0.0,41,27.12,37,34.78,47.6,28,
2025-04-05,桐生,7,17:52,投票,5,大廣咲季,B1,香川,3.03,9.8,1.67,0.0,75,16.22,28,32.88,46.5,25,
2025-04-05,桐生,7,17:52,投票,6,石村日奈那,B2,東京,1.27,1.96,0.0,0.0,12,48.39,73,41.43,47.0,23,
2025-04-05,桐生,8,18:22,投票,1,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,47.3,45,
2025-04-05,桐生,8,18:22,投票,2,道上千夏,B1,香川,4.63,25.93,3.75,12.5,72,23.33,58,38.57,49.6,53,
2025-04-05,桐生,8,18:22,投票,3,西澤日花里,B1,長崎,4.88,30.43,4.2,20.0,59,29.27,25,33.82,46.5,30,
2025-04-05,桐生,8,18:22,投票,4,登みひ果,B1,兵庫,4.24,25.29,2.61,11.11,60,34.0,72,42.47,46.0,25,
2025-04-05,桐生,8,18:22,投票,5,黒澤めぐみ,A2,東京,5.76,40.43,5.37,31.58,13,27.78,19,31.51,47.0,35,
2025-04-05,桐生,8,18:22,投票,6,松尾怜実,B1,福岡,3.43,9.09,4.93,33.33,18,22.45,45,38.81,46.0,25,
2025-04-05,桐生,9,18:52,投票,1,岩崎芳美,A2,徳島,5.94,39.51,6.57,52.38,23,22.22,67,42.25,48.3,52,
2025-04-05,桐生,9,18:52,投票,2,川井萌,A1,静岡,6.21,46.88,3.53,23.53,30,52.63,44,20.0,46.0,23,
2025-04-05,桐生,9,18:52,投票,3,金田幸子,A2,岡山,5.55,39.66,4.33,33.33,64,25.93,61,34.78,44.0,45,
2025-04-05,桐生,9,18:52,投票,4,松本晶恵,A2,群馬,4.98,34.88,7.62,66.0,19,17.65,34,33.33,48.6,37,
2025-04-05,桐生,9,18:52,投票,5,前田紗希,A1,埼玉,5.48,37.93,5.37,31.58,42,18.87,36,32.81,46.5,32,
2025-04-05,桐生,9,18:52,投票,6,野田部宏子,B1,福岡,5.35,38.1,4.0,33.33,56,40.91,18,35.71,51.2,34,
2025-04-05,桐生,10,19:23,投票,1,長嶋万記,A1,静岡,6.33,44.09,0.0,0.0,20,33.33,75,33.8,49.0,43,
2025-04-05,桐生,10,19:23,投票,2,櫻本あゆみ,A2,群馬,5.96,46.43,6.71,53.85,49,32.2,52,40.32,47.2,37,
2025-04-05,桐生,10,19:23,投票,3,清埜翔子,A2,埼玉,5.19,35.96,5.4,43.33,29,35.38,27,33.33,47.0,33,
2025-04-05,桐生,10,19:23,投票,4,関野文,A1,大阪,5.7,38.79,6.1,50.0,15,18.42,46,38.46,45.5,31,
2025-04-05,桐生,10,19:23,投票,5,落合直子,A2,大阪,5.37,39.22,6.5,50.0,54,35.19,23,35.21,47.4,40,
2025-04-05,桐生,10,19:23,投票,6,山崎小葉音,A2,群馬,4.6,28.57,5.59,44.44,74,33.33,29,38.71,43.5,24,
2025-04-05,桐生,11,19:56,投票,1,守屋美穂,A1,岡山,7.52,63.55,8.05,78.95,16,36.84,42,27.59,45.5,36,
2025-04-05,桐生,11,19:56,投票,2,高憧四季,B1,大阪,6.52,47.22,0.0,0.0,27,27.5,48,23.73,44.5,25,
2025-04-05,桐生,11,19:56,投票,3,鎌倉涼,A1,大阪,6.26,47.5,7.67,77.78,34,28.57,70,32.39,45.5,35,
2025-04-05,桐生,11,19:56,投票,4,高橋淳美,B2,大阪,2.92,7.69,5.4,30.0,48,22.92,15,33.96,46.5,61,
2025-04-05,桐生,11,19:56,投票,5,湯淺紀香,B1,群馬,5.15,33.33,4.52,24.64,35,41.18,55,41.43,47.0,26,
2025-04-05,桐生,11,19:56,投票,6,大石真央,B1,静岡,4.0,18.39,5.2,20.0,57,16.13,62,37.7,46.0,26,
2025-04-05,桐生,12,20:30,投票,1,福山恵里奈,B1,山口,3.89,17.46,0.0,0.0,41,27.12,37,34.78,47.6,28,
2025-04-05,桐生,12,20:30,投票,2,西岡育未,B1,徳島,3.94,11.76,5.22,33.33,28,38.3,60,22.58,46.5,30,
2025-04-05,桐生,12,20:30,投票,3,佐々木裕美,A2,山口,4.58,30.61,7.5,65.0,32,27.66,40,40.58,47.3,45,
2025-04-05,桐生,12,20:30,投票,4,平川香織,B1,埼玉,5.16,33.33,5.1,30.0,43,17.07,59,30.99,47.0,24,
2025-04-05,桐生,12,20:30,投票,5,山川波乙,B2,三重,4.28,19.44,6.4,50.0,51,55.36,66,15.94,46.0,27,
2025-04-05,桐生,12,20:30,投票,6,黒澤めぐみ,A2,東京,5.76,40.43,5.37,31.58,13,27.78,19,31.51,47.0,35,
2025-04-05,平和島,1,11:04,投票,1,花田和明,B1,愛知,5.18,33.33,0.0,0.0,68,33.91,10,28.82,52.7,55,
2025-04-05,平和島,1,11:04,投票,2,渡邉睦広,A2,東京,5.33,31.58,5.74,41.98,34,34.71,12,36.93,51.5,56,
2025-04-05,平和島,1,11:04,投票,3,伊藤将吉,A1,静岡,7.1,56.36,6.78,55.56,70,35.26,26,35.47,52.2,46,
2025-04-05,平和島,1,11:04,投票,4,岡部大輔,B1,佐賀,5.42,38.54,4.0,20.0,12,36.9,20,33.33,52.5,44,
2025-04-05,平和島,1,11:04,投票,5,吉田光,B1,佐賀,5.01,22.22,7.0,52.94,45,42.77,19,38.2,52.0,49,
2025-04-05,平和島,1,11:04,投票,6,大塚康雅,B1,東京,5.02,31.76,4.35,22.58,16,28.48,13,32.2,50.5,30,
2025-04-05,平和島,2,11:31,投票,1,塚田修二,B1,東京,4.15,19.23,3.67,16.67,27,36.16,66,34.16,55.4,57,
2025-04-05,平和島,2,11:31,投票,2,高井雄基,B1,愛知,6.5,50.0,0.0,0.0,57,36.53,61,43.2,52.0,28,
2025-04-05,平和島,2,11:31,投票,3,川原正明,A2,福井,5.57,41.67,3.33,16.67,23,34.32,65,25.87,52.5,51,
2025-04-05,平和島,2,11:31,投票,4,滝沢芳行,A2,埼玉,4.91,31.65,5.88,44.0,53,34.3,55,41.3,52.0,56,
2025-04-05,平和島,2,11:31,投票,5,梶野学志,A1,東京,6.57,48.1,6.28,45.31,64,38.82,52,35.44,52.5,44,
2025-04-05,平和島,2,11:31,投票,6,國崎良春,B1,福岡,5.28,36.27,5.56,38.89,24,46.75,24,26.25,52.6,50,
2025-04-05,平和島,3,11:58,投票,1,森照夫,B1,福岡,4.63,29.63,0.0,0.0,73,34.13,53,32.52,53.4,36,
2025-04-05,平和島,3,11:58,投票,2,濱崎直矢,A1,埼玉,7.19,59.12,7.25,57.14,17,30.49,25,27.92,53.1,41,
2025-04-05,平和島,3,11:58,投票,3,伊藤喜智,B1,大阪,5.18,31.0,5.9,45.0,33,42.2,14,33.13,52.4,39,
2025-04-05,平和島,3,11:58,投票,4,田中宏典,B1,佐賀,4.62,26.76,0.0,0.0,50,27.98,17,28.31,54.1,25,
2025-04-05,平和島,3,11:58,投票,5,中澤和志,A1,埼玉,6.86,45.45,6.92,41.67,51,43.02,23,25.32,52.9,48,
2025-04-05,平和島,3,11:58,投票,6,井田涼介,B2,群馬,1.17,0.0,0.0,0.0,30,35.33,27,30.18,62.6,21,
2025-04-05,平和島,4,12:25,投票,1,夏山亮平,B1,大阪,5.2,39.19,5.14,37.93,38,38.73,67,37.65,55.0,38,
2025-04-05,平和島,4,12:25,投票,2,藤山翔大,A2,大阪,6.33,49.63,5.32,36.84,52,33.92,59,35.8,52.0,34,
2025-04-05,平和島,4,12:25,投票,3,松村康太,A2,福井,6.29,40.19,4.38,12.5,65,31.98,75,34.78,52.5,41,
2025-04-05,平和島,4,12:25,投票,4,大賀龍之介,B1,福岡,5.57,41.49,7.67,66.67,28,36.47,31,40.98,54.4,28,
2025-04-05,平和島,4,12:25,投票,5,牧村俊輝,B2,愛知,1.72,0.0,1.4,0.0,26,38.24,73,33.73,53.0,21,
2025-04-05,平和島,4,12:25,投票,6,野口勝弘,A1,愛知,6.58,46.07,6.5,52.5,72,38.73,63,34.55,50.0,38,
2025-04-05,平和島,5,12:54,投票,1,岡崎恭裕,A1,福岡,7.0,55.81,5.78,22.22,49,36.75,11,31.82,51.5,38,
2025-04-05,平和島,5,12:54,投票,2,西川新太郎,B1,愛知,5.25,32.95,0.0,0.0,29,46.24,28,31.93,54.4,45,
2025-04-05,平和島,5,12:54,投票,3,大塚康雅,B1,東京,5.02,31.76,4.35,22.58,16,28.48,13,32.2,50.5,30,
2025-04-05,平和島,5,12:54,投票,4,岡部哲,B1,埼玉,4.4,21.11,4.63,29.63,63,47.65,68,29.73,51.0,50,
2025-04-05,平和島,5,12:54,投票,5,小坂風太,B1,福井,4.49,19.23,4.5,20.0,20,33.33,60,37.66,52.4,24,
2025-04-05,平和島,5,12:54,投票,6,中野夢斗,B1,愛知,3.89,24.62,4.31,22.86,44,36.9,22,45.3,52.4,28,
2025-04-05,平和島,6,13:24,投票,1,後藤孝義,B2,静岡,3.59,12.24,3.79,17.86,10,32.34,15,43.45,52.0,56,
2025-04-05,平和島,6,13:24,投票,2,金子拓矢,A1,群馬,6.92,55.13,6.0,38.71,74,29.34,74,22.92,52.1,41,
2025-04-05,平和島,6,13:24,投票,3,高井雄基,B1,愛知,6.5,50.0,0.0,0.0,57,36.53,61,43.2,52.0,28,
2025-04-05,平和島,6,13:24,投票,4,田代達也,B1,東京,3.63,16.92,4.0,24.14,58,34.88,56,32.08,52.2,33,
2025-04-05,平和島,6,13:24,投票,5,山下昂大,B1,岡山,5.3,31.46,6.0,45.45,56,29.76,21,32.92,52.0,32,
2025-04-05,平和島,6,13:24,投票,6,鶴本崇文,A2,大阪,6.46,45.61,7.59,65.52,11,25.61,18,30.25,52.0,39,
2025-04-05,平和島,7,13:55,投票,1,須藤隆雄,B1,群馬,3.82,18.31,4.11,16.67,15,41.82,62,32.73,54.4,50,
2025-04-05,平和島,7,13:55,投票,2,塚田修二,B1,東京,4.15,19.23,3.67,16.67,27,36.16,66,34.16,55.4,57,
2025-04-05,平和島,7,13:55,投票,3,坂元浩仁,A1,愛知,6.19,42.37,6.29,42.86,62,33.93,71,34.51,54.8,39,
2025-04-05,平和島,7,13:55,投票,4,石野貴之,A1,大阪,6.24,49.15,9.0,50.0,35,39.31,57,31.03,52.4,42,
2025-04-05,平和島,7,13:55,投票,5,井田涼介,B2,群馬,1.17,0.0,0.0,0.0,30,35.33,27,30.18,62.6,21,
2025-04-05,平和島,7,13:55,投票,6,吉田光,B1,佐賀,5.01,22.22,7.0,52.94,45,42.77,19,38.2,52.0,49,
2025-04-05,平和島,8,14:26,投票,1,星栄爾,A2,静岡,5.59,35.34,5.7,50.0,13,30.54,54,33.96,53.6,39,
2025-04-05,平和島,8,14:26,投票,2,細川明人,B1,岡山,3.88,21.05,0.0,0.0,40,40.35,58,34.55,55.1,50,
2025-04-05,平和島,8,14:26,投票,3,西尾亮輔,B1,愛知,3.97,16.09,4.07,28.57,36,40.24,70,28.75,52.0,36,
2025-04-05,平和島,8,14:26,投票,4,伊藤将吉,A1,静岡,7.1,56.36,6.78,55.56,70,35.26,26,35.47,52.2,46,
2025-04-05,平和島,8,14:26,投票,5,田中宏典,B1,佐賀,4.62,26.76,0.0,0.0,50,27.98,17,28.31,54.1,25,
2025-04-05,平和島,8,14:26,投票,6,牧村俊輝,B2,愛知,1.72,0.0,1.4,0.0,26,38.24,73,33.73,53.0,21,
2025-04-05,平和島,9,14:58,投票,1,川原正明,A2,福井,5.57,41.67,3.33,16.67,23,34.32,65,25.87,52.5,51,
2025-04-05,平和島,9,14:58,投票,2,岡崎恭裕,A1,福岡,7.0,55.81,5.78,22.22,49,36.75,11,31.82,51.5,38,
2025-04-05,平和島,9,14:58,投票,3,森照夫,B1,福岡,4.63,29.63,0.0,0.0,73,34.13,53,32.52,53.4,36,
2025-04-05,平和島,9,14:58,投票,4,野口勝弘,A1,愛知,6.58,46.07,6.5,52.5,72,38.73,63,34.55,50.0,38,
2025-04-05,平和島,9,14:58,投票,5,岡部大輔,B1,佐賀,5.42,38.54,4.0,20.0,12,36.9,20,33.33,52.5,44,
2025-04-05,平和島,9,14:58,投票,6,坂口貴彦,B1,岡山,4.57,26.67,5.15,41.18,19,47.9,69,36.26,52.6,35,
2025-04-05,平和島,10,15:31,投票,1,藤山翔大,A2,大阪,6.33,49.63,5.32,36.84,52,33.92,59,35.8,52.0,34,
2025-04-05,平和島,10,15:31,投票,2,花田和明,B1,愛知,5.18,33.33,0.0,0.0,68,33.91,10,28.82,52.7,55,
2025-04-05,平和島,10,15:31,投票,3,梶野学志,A1,東京,6.57,48.1,6.28,45.31,64,38.82,52,35.44,52.5,44,
